Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
São Paulo (SP),25 a 35 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,Rappi,,iFood,Cornershop,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,Acumulei 2 selos na compra do refrigerante Pepsi 3l.,"Sim, gastaria e trocaria pelo microondas",,Por ser um produto de baixo custo e de menor utilização no meu dia a dia.,Acho bem bacana!,No mesmo dia,Depende da campanha,R$100,1,1
São Paulo (SP),45 a 55 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,,,,Cartão fidelidade,,Cartela de selinhos,,,,,,,,,"Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Nenhum deles,,,"...que a cada 20,00 desse valor acumulei um selo","Não, fico com a sanduicheira","Não uso microondas, já estudei muito e sei o quanto é prejudicial para a saúde e na interferência da qualidade do alimento que passou por ele",,,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,Cupons de desconto,,,,,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,"Entendo que , o selo da desconto no valor da compra","Sim, gastaria e trocaria pelo microondas",,Pq a sanduicheira é um valor menor !,Otimo!!!,No mesmo dia,Não,R$200,1,1
Rio Grande do Sul (RS),mais de 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,,,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Nada,"Sim, gastaria e trocaria pelo microondas",,Porq seria melhor,Boas,Na mesma semana,Não,R$100,1,1
Rio Grande do Sul (RS),25 a 35 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,Carrefour,,,,iFood,,,,Uber,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,"Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Pepsi,Ganhei 2 selos para uma premiação,"Sim, gastaria e trocaria pelo microondas",,"Porquê se 40 selos ganhei com compras normais do mês, por 100,00 reais ha mais levarbum microondas seria um ganho alto. Vale a pena esperar e acumular.","Acho forçado demais. Sempre busco o melhor preço,  então independente do produto exposto vou procurar o melhor pra mim.",No mesmo dia,Não,R$100,1,1
Paraná (PR),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,Carrefour,,,,,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,Cupons de desconto,,,,,,,,,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Sim,"Não, fico com a sanduicheira",Porque eu já tenho,,,Na mesma semana,Sim,R$50,1,1
Pernambuco (PE),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,Carrefour,Pão de Açúcar,,,iFood,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Nao entendo nada. Nunca mim foi explicado nada sobre isso,"Sim, gastaria e trocaria pelo microondas",,Pq o microodas e bem melhor mas util. E estou precisando e um,Gosto muito. Mostra uma procupacao conm o cliente,No mesmo dia,Provavelmente,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,Cartela de selinhos,,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Muito bom seria,"Sim, gastaria e trocaria pelo microondas",,Porque eu precisaria desse produto,Uma boa  campanha,No mesmo mês,Sim,R$50,1,1
Rio Grande do Sul (RS),25 a 35 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Pessoas na loja ajudando no cadastro,,,,,,,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Não entendi,"Sim, gastaria e trocaria pelo microondas",,Porque é mais caro um microondas do que uma sanduicheira,Boas,No mesmo dia,Sim,R$100,1,1
São Paulo (SP),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",Extra,,Pão de Açúcar,Rappi,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,"Eletro não faz parte, por isso só recebo 2 selos por essa compra, referente ao refrigerante.","Sim, gastaria e trocaria pelo microondas",,Porque o micro-ondas é uma recompensa melhor,Não me atrai.,Em até 2 meses,Depende da campanha,R$100,1,1
